State,Registrations
CA,14894912
TX,8313623
FL,7841189
NY,4444391
OH,4423248
IL,4322850
PA,4267811
GA,3499520
NC,3434565
VA,3187026
WA,2943914
MI,2831499
NJ,2639261
AZ,2405959
IN,2185979
TN,2185229
AL,2109108
MA,2088674
MO,2052788
WI,2004002
MD,1868994
MN,1836831
SC,1801243
CO,1741218
KY,1669167
OR,1424799
LA,1349720
CT,1260954
OK,1225134
IA,1221843
NV,1060188
KS,947148
UT,921645
AR,886647
MS,806061
NE,661838
NM,641838
ID,602170
WV,536646
HI,498992
NH,489224
MT,439118
DE,423462
RI,396508
ME,373868
SD,342868
ND,228881
VT,206621
D.C.,203771
WY,196219
AK,178516